Record Date,Debt Category,Debt Category Description,Closing Balance Today,Opening Balance Today,Opening Balance This Month,Opening Balance This Fiscal Year,Table Number,Table Name,Sub Table Name,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2023-06-02,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,02
2023-06-02,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,02
2023-06-02,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,02
2023-06-01,Debt Held by the Public,null,24690310,24630686,24630686,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,06,01
2023-06-01,Intragovernmental Holdings,null,6777330,6833771,6833771,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,06,01
2023-06-01,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,06,01
2023-06-01,Debt Not Subject to Limit,Unamortized Discount (-),79002,75820,75820,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,06,01
2023-06-01,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,6722,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,06,01
2023-06-01,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,06,01
2023-06-01,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,06,01
2023-05-31,Debt Held by the Public,null,24630686,24634299,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,31
2023-05-31,Intragovernmental Holdings,null,6833771,6829690,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,31
2023-05-31,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,31
2023-05-31,Debt Not Subject to Limit,Unamortized Discount (-),75820,75352,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,31
2023-05-31,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,4847,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,05,31
2023-05-31,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,05,31
2023-05-31,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,05,31
2023-05-30,Debt Held by the Public,null,24634299,24635929,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,30
2023-05-30,Intragovernmental Holdings,null,6829690,6829013,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,30
2023-05-30,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,30
2023-05-30,Debt Not Subject to Limit,Unamortized Discount (-),75352,76305,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,30
2023-05-30,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,4847,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,05,30
2023-05-30,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,05,30
2023-05-30,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,05,30
2023-05-26,Debt Held by the Public,null,24635929,24634290,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,26
2023-05-26,Intragovernmental Holdings,null,6829013,6831193,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,26
2023-05-26,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,26
2023-05-26,Debt Not Subject to Limit,Unamortized Discount (-),76305,76845,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,26
2023-05-26,Debt Not Subject to Limit,Federal Financing Bank (-),6722,6722,4847,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,05,26
2023-05-26,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,05,26
2023-05-26,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,05,26
2023-05-25,Debt Held by the Public,null,24634290,24635200,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,25
2023-05-25,Intragovernmental Holdings,null,6831193,6826419,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,25
2023-05-25,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,25
2023-05-25,Debt Not Subject to Limit,Unamortized Discount (-),76845,74857,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,25
2023-05-25,Debt Not Subject to Limit,Federal Financing Bank (-),6722,4847,4847,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,05,25
2023-05-25,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,05,25
2023-05-25,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,05,25
2023-05-24,Debt Held by the Public,null,24635200,24620574,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,24
2023-05-24,Intragovernmental Holdings,null,6826419,6841580,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,24
2023-05-24,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,24
2023-05-24,Debt Not Subject to Limit,Unamortized Discount (-),74857,75393,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,24
2023-05-24,Debt Not Subject to Limit,Federal Financing Bank (-),4847,4847,4847,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,05,24
2023-05-24,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,05,24
2023-05-24,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,05,24
2023-05-23,Debt Held by the Public,null,24620574,24632270,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,23
2023-05-23,Intragovernmental Holdings,null,6841580,6828289,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,23
2023-05-23,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,23
2023-05-23,Debt Not Subject to Limit,Unamortized Discount (-),75393,73798,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,23
2023-05-23,Debt Not Subject to Limit,Federal Financing Bank (-),4847,4847,4847,4847,IIIC,Debt Subject to Limit,Balance Transactions,6,2023,3,2023,2,05,23
2023-05-23,Other Debt Subject to Limit,Guaranteed Debt of Government Agencies,0,0,0,0,IIIC,Debt Subject to Limit,Balance Transactions,7,2023,3,2023,2,05,23
2023-05-23,Statutory Debt Limit,null,31381463,31381463,31381463,31381463,IIIC,Debt Subject to Limit,Balance Transactions,9,2023,3,2023,2,05,23
2023-05-22,Debt Held by the Public,null,24632270,24637237,24605068,24299193,IIIC,Debt Subject to Limit,Balance Transactions,1,2023,3,2023,2,05,22
2023-05-22,Intragovernmental Holdings,null,6828289,6824910,6852747,6629719,IIIC,Debt Subject to Limit,Balance Transactions,2,2023,3,2023,2,05,22
2023-05-22,Debt Not Subject to Limit,Other Debt (-),477,477,477,478,IIIC,Debt Subject to Limit,Balance Transactions,4,2023,3,2023,2,05,22
2023-05-22,Debt Not Subject to Limit,Unamortized Discount (-),73798,75385,71053,54328,IIIC,Debt Subject to Limit,Balance Transactions,5,2023,3,2023,2,05,22
